type,hull_class,sig_radius,shield_em,shield_thermal,shield_kinetic,shield_exp,armor_em,armor_thermal,armor_kinetic,armor_exp,structure_em,structure_thermal,structure_kinetic,structure_exp,shield_hp,armor_hp,structure_hp,wpn_dmg_mod,Weapon Optimal,Weapon Falloff,Weapon Tracking,rof,dmg_multiplier_max,dm_mutiplier_per_cycle,max_combat_orbit_range,ammo_em,ammo_thermal,ammo_kinetic,ammo_exp,missile_type,missile_dmg,missile_dmg_bonus,missile_rof,base_missile_velocity,base_missile_time,missile_time_bonus,missile_velocity_bonus,Enemy Max Velocity,max_velocity_sig_radius_multiplier,Enemy Orbit Velocity,armor_dmg,shield_charge,item_damage,capacitor_cap,rr_type,rr_amount,rr_optimal,rr_falloff,rr_rof,local_rep_type,local_rep_strength,local_rep_duration,Primary EWAR,ewar1_strength,ewar1_rof,ewar1_optimal,ewar1_falloff,Secondary EWAR,ewar2_strength,ewar2_rof,ewar2_optimal,ewar2_falloff,Total Base HP,Weapon DPS,Total DPS,Remote Repair Per Second,Local Repair Per Second,GJ Neutralized Per Second,Missile DPS,Approximate Missile Range
Devoted Herald,frigate,49,5.0,15.0,25.0,35.0,5,20,30,40,0,0,0,0,1500.0,500,525,12.54,18000,8000,600,5.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,400,,,,300.0,,,,,,Shield Booster,25.0,2.0,Tracking Disruptor,-20.3,5.0,25000.0,15000.0,Guidance Disruptor,13.75|-13.75|10.62,5.0,25000.0,15000.0,2525,27.588,27.588,,12.5,,,
Devoted Hunter,frigate,49,5.0,19.0,29.0,40.0,5,19,29,40,0,0,0,0,2500.0,700,675,20.0,18000,8000,600,4.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,400,,,,235.0,,,,,,Shield Booster,25.0,2.0,,,,,,,,,,,3875,55,55,,12.5,,,
Devoted Knight,cruiser,660,25.0,62.0,56.0,40.0,50,20,25,35,0,0,0,0,6500.0,1500,2000,26.0,20000,15000,21,3.0,,,32000.0,12.0,8.0,0.0,0.0,,,,,,,,,580,,270,,,,1800.0,,,,,,Shield Booster,78.0,3.0,Energy Neutralizer,160,10.0,10000.0,3000.0,Stasis Webifier,50,5.0,10000.0,,10000,173.33333333333334,173.33333333333334,,26,16,,
Devoted Lookout,frigate,49,5.0,15.0,25.0,35.0,5,20,30,40,0,0,0,0,1500.0,500,525,12.54,18000,8000,600,5.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,400,,,,235.0,,,,,,Shield Booster,25.0,2.0,Sensor Dampener,-20,10.0,40000.0,80000.0,,,,,,2525,27.588,27.588,,12.5,,,
Devoted Priest,frigate,49,5.0,15.0,25.0,35.0,5,20,30,40,0,0,0,0,1500.0,500,525,12.54,18000,8000,600,5.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,400,,,,300.0,Shield,200.0,13000.0,4800.0,12.0,Shield Booster,25.0,2.0,,,,,,,,,,,2525,27.588,27.588,16.666666666666668,12.5,,,
Devoted Smith,frigate,49,5.0,15.0,25.0,35.0,5,20,30,40,0,0,0,0,1500.0,500,525,12.54,18000,8000,600,5.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,400,,,,300.0,,,,,,Shield Booster,25.0,2.0,Energy Neutralizer,120,10.0,8000.0,5000.0,,,,,,2525,27.588,27.588,,12.5,12,,
Devoted Torchbearer,frigate,49,5.0,15.0,25.0,35.0,5,20,30,40,0,0,0,0,1500.0,500,525,12.54,18000,8000,600,5.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,400,,,,235.0,,,,,,Shield Booster,25.0,2.0,Target Painter,35,5.0,50000.0,10000.0,,,,,,2525,27.588,27.588,,12.5,,,
Devoted Trapper,frigate,49,5.0,15.0,25.0,35.0,5,20,30,40,0,0,0,0,1500.0,500,525,12.54,18000,8000,600,5.0,,,7000.0,6.0,5.0,0.0,0.0,,,,,,,,,740,,400,,,,235.0,,,,,,Shield Booster,25.0,2.0,Warp Scrambler,2,5.0,10000.0,,,,,,,2525,27.588,27.588,,12.5,,,
Elite Lucifer Cynabal,cruiser,146,70.0,68.0,63.0,60.0,65,40,30,15,54,54,54,54,4368.0,2190,2190,50.0,10000,62000,60,5.0,,,8000.0,8.0,0.0,0.0,3.0,,,,,,,,,2658,,410,,,,3015.0,,,,,,Shield Booster,169.0,9.0,Energy Neutralizer,100,10.0,10000.0,14000.0,Stasis Webifier,50,5.0,15000.0,,8748,110,110,,18.77777777777778,10,,
Lucifer Cynabal,cruiser,146,60.0,58.0,53.0,50.0,60,35,25,10,33,33,33,33,2912.0,1460,1460,45.0,9000,52000,40,7.0,,,8000.0,8.0,0.0,0.0,3.0,,,,,,,,,2070,,328,,,,2015.0,,,,,,Shield Booster,135.0,9.0,Energy Neutralizer,70,10.0,9000.0,10000.0,Stasis Webifier,40,5.0,13000.0,,5832,70.71428571428571,70.71428571428571,,15,7,,
Lucifer Ixion,cruiser,125,60.0,58.0,53.0,50.0,60,35,25,10,33,33,33,33,2480.0,1120,1120,5.0,70000,28000,25,20.0,,,18000.0,0.0,8.0,2.0,0.0,Nova Heavy Missile,149 EXP,3.0,10.0,4300.0,6.0,4.0,1.5,1489,5.0,200,,,,2015.0,,,,,,Shield Booster,100.0,9.0,Target Painter,38,5.0,30000.0,80000.0,Guidance Disruptor,30|-30,5.0,40000.0,50000.0,4720,2.5,47.2,,11.11111111111111,,44.7,154800
Elite Lucifer Dramiel,frigate,70,60.0,58.0,53.0,50.0,65,40,30,15,54,54,54,54,1100.0,1100,975,11.0,6000,28000,1200,6.0,,,6000.0,0.0,0.0,3.0,7.0,Mjolnir Rocket,33 EMP,2.0,5.0,2250.0,2.0,3.0,1.5,3709,5.0,620,,,,800.0,,,,,,Shield Booster,45.0,5.0,Stasis Webifier,50,5.0,12000.0,,,,,,,3175,18.333333333333332,31.53333333333333,,9,,13.2,20250
Lucifer Dramiel,frigate,70,55.0,53.0,48.0,45.0,60,35,25,10,33,33,33,33,737.0,737,650,9.0,6000,22000,1000,6.0,,,6000.0,0.0,0.0,3.0,7.0,Mjolnir Rocket,33 EMP,1.0,5.0,2250.0,2.0,3.0,1.5,3219,5.0,575,,,,500.0,,,,,,Shield Booster,35.0,5.0,,,,,,,,,,,2124,15,21.6,,7,,6.6,20250
Lucifer Burst,frigate,100,50.0,48.0,43.0,40.0,60,35,25,10,33,33,33,33,700.0,700,500,,,,,,,,9000.0,,,,,,,,,,,,,2430,5.0,270,,,,500.0,Shield,25.0,15000.0,20000.0,2.0,Shield Booster,20.0,5.0,,,,,,,,,,,1900,,,12.5,4,,,
Lucifer Echo,frigate,80,55.0,53.0,48.0,45.0,60,35,25,10,33,33,33,33,650.0,650,650,7.0,4000,20000,700,6.0,,,4000.0,0.0,0.0,3.0,7.0,,,,,,,,,4125,5.0,550,,,,500.0,,,,,,Shield Booster,35.0,5.0,Stasis Webifier,40,5.0,12000.0,,Warp Scrambler,2,5.0,11250.0,,1950,11.666666666666666,11.666666666666666,,7,,,
Lucifer Fury,frigate,80,55.0,53.0,48.0,45.0,60,35,25,10,33,33,33,33,700.0,700,600,7.0,8000,20000,700,6.0,,,8000.0,0.0,0.0,3.0,7.0,,,,,,,,,3000,5.0,500,,,,1000.0,,,,,,Shield Booster,35.0,5.0,Energy Neutralizer,25,5.0,8000.0,6000.0,,,,,,2000,11.666666666666666,11.666666666666666,,7,5,,
Lucifer Medusa,frigate,90,55.0,53.0,48.0,45.0,60,35,25,10,33,33,33,33,700.0,600,600,12.0,6000,20000,700,6.0,,,8000.0,0.0,0.0,3.0,7.0,,,,,,,,,2800,5.0,350,,,,500.0,,,,,,Shield Booster,35.0,5.0,Sensor Dampener,-20,5.0,20000.0,50000.0,,,,,,1900,20,20,,7,,,
Lucifer Swordspine,frigate,90,55.0,53.0,48.0,45.0,60,35,25,10,33,33,33,33,700.0,600,600,7.0,12000,20000,500,6.0,,,12000.0,0.0,0.0,3.0,7.0,,,,,,,,,3188,5.0,425,,,,500.0,,,,,,Shield Booster,35.0,5.0,Target Painter,38,5.0,20000.0,40000.0,,,,,,1900,11.666666666666666,11.666666666666666,,7,,,
Arrester Marshal Disparu Troop,battleship,370,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,7500.0,7500,5200,,,,,,,,15000.0,,,,,Caldari Navy Nova Heavy Missile,171 EXP,15.0,6.0,4300.0,6.0,2.7,1.0,340,,100,5400.0,0.0,,8250.0,,,,,,,,,Stasis Webifier,50,5.0,15000.0,,,,,,,7300,,,,,,427.5,69660
Attacker Marshal Disparu Troop,battleship,370,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,7500.0,7500,5200,,,,,,,,15000.0,,,,,Caldari Navy Inferno Heavy Missile,171 THE,15.0,6.0,4300.0,6.0,2.7,1.0,340,,100,5400.0,0.0,,8250.0,,,,,,,,,,,,,,,,,,,7300,,,,,,427.5,69660
Drainer Marshal Disparu Troop,battleship,370,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,7500.0,7500,5200,,,,,,,,15000.0,,,,,Caldari Navy Inferno Heavy Missile,171 THE,15.0,6.0,4300.0,6.0,2.7,1.0,340,,100,5400.0,0.0,,8250.0,,,,,,,,,Energy Neutralizer,400,24.0,30000.0,20000.0,,,,,,7300,,,,,16.666666666666668,427.5,69660
Arrester Pacifier Disparu Troop,frigate,150,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,1450.0,1450,290,,,,,,,,15000.0,,,,,Nova Rocket,33 THE,12.0,10.0,2250.0,2.0,8.0,1.0,2400,,1000,,,,500.0,,,,,,Armor Repair,120.0,5.0,Stasis Webifier,50,5.0,10000.0,,,,,,,3190,,,,24,,39.6,36000
Attacker Pacifier Disparu Troop,frigate,150,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,1450.0,1450,290,,,,,,,,10000.0,,,,,Inferno Rocket,33 THE,12.0,10.0,2250.0,2.0,8.0,1.0,2400,,1000,,,,500.0,,,,,,Armor Repair,130.0,5.0,,,,,,,,,,,3190,,,,26,,39.6,36000
Drainer Pacifier Disparu Troop,frigate,150,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,1450.0,1450,290,,,,,,,,10000.0,,,,,Nova Rocket,33 EXP,12.0,10.0,2250.0,2.0,8.0,1.0,2400,,1000,,,,500.0,,,,,,Armor Repair,120.0,5.0,Energy Neutralizer,100,8.0,9000.0,9000.0,,,,,,3190,,,,24,12.5,39.6,36000
Marker Pacifier Disparu Troop,frigate,150,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,1450.0,1450,290,,,,,,,,10000.0,,,,,Inferno Rocket,33 THE,12.0,10.0,2250.0,2.0,8.0,1.0,2400,,1000,,,,500.0,,,,,,Armor Repair,120.0,5.0,Target Painter,40,10.0,50000.0,100000.0,,,,,,3190,,,,24,,39.6,36000
Assault Enforcer Disparu Troop,cruiser,660,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,5200.0,5200,1050,,,,,,,,9000.0,,,,,Inferno Heavy Assault Missile,100 THE,17.0,13.0,2250.0,4.0,4.0,1.0,1300,,1000,,,,1400.0,,,,,,Armor Repair,160.0,6.0,,,,,,,,,,,11450,,,,26.666666666666668,,130.76923076923077,36000
Drainer Enforcer Disparu Troop,cruiser,660,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,5200.0,5200,1050,,,,,,,,9000.0,,,,,Nova Heavy Assault Missile,100 EXP,16.0,13.0,2250.0,4.0,4.0,1.0,1300,,900,,,,1400.0,,,,,,Armor Repair,150.0,6.0,Energy Neutralizer,360,20.0,10000.0,5000.0,,,,,,11450,,,,25,18,123.07692307692308,36000
Marker Enforcer Disparu Troop,cruiser,660,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,5200.0,5200,1050,,,,,,,,9000.0,,,,,Inferno Heavy Assault Missile,100 THE,17.0,13.0,2250.0,4.0,4.0,1.0,1300,,1000,,,,1400.0,,,,,,Armor Repair,160.0,6.0,Target Painter,30,5.0,50000.0,10000.0,,,,,,11450,,,,26.666666666666668,,130.76923076923077,36000
Thunderchild Disparu Troop,battleship,370,44.0,44.0,65.0,65.0,50,10,25,45,33,33,33,33,11500.0,5100,7400,2.5,64000,,,15.0,,,,232.0,0.0,756.0,0.0,,,,,,,,,400,,,5100.0,0.0,3939.0,8250.0,,,,,,Shield Booster,260.0,6.0,,,,,,,,,,,3461,164.66666666666666,164.66666666666666,,43.333333333333336,,,
Stormbringer Disparu Troop,cruiser,660,44.0,44.0,65.0,65.0,50,10,25,45,33,33,33,33,7500.0,800,1300,6.0,38400,,,9.0,,,,14.0,0.0,97.0,0.0,,,,,,,,,1000,,300,,,,1400.0,,,,,,Shield Booster,220.0,6.0,,,,,,,,,,,9600,74,74,,36.666666666666664,,,
Skybreaker Disparu Troop,frigate,192,44.0,44.0,65.0,65.0,50,10,25,45,33,33,33,33,1600.0,400,450,4.0,19200,,,6.0,,,,97.0,0.0,14.0,0.0,,,,,,,,,2000,,500,,,,500.0,,,,,,Shield Booster,160.0,5.0,,,,,,,,,,,2450,74,74,,32,,,
Ephialtes Confuser,cruiser,150,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,2500.0,1500,1000,2.0,12000,10000,100,4.0,,,10000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,0.3,10.0,3750.0,10.0,1.5,1.0,1400,,1000,,,,725.0,,,,,,,,,Tracking Disruptor,`-10|-10|-10,5.0,30000.0,15000.0,Guidance Disruptor,-8|-10|10,5.0,30000.0,15000.0,5000,20,24.98,,,,4.9799999999999995,56250
Ephialtes Dissipator,cruiser,150,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,2500.0,1500,1000,2.0,12000,10000,100,4.0,,,10000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,0.3,10.0,3750.0,10.0,1.5,1.0,1400,,1000,,,,725.0,,,,,,,,,Energy Neutralizer,100,10.0,8000.0,4000.0,,,,,,5000,20,24.98,,,10,4.9799999999999995,56250
Ephialtes Entangler,cruiser,150,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,2500.0,1500,1000,2.0,12000,10000,100,4.0,,,10000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,0.3,10.0,3750.0,10.0,1.5,1.0,1400,,1000,,,,725.0,,,,,,,,,Stasis Webifier,40,5.0,10000.0,,,,,,,5000,20,24.98,,,,4.9799999999999995,56250
Ephialtes Illuminator,cruiser,150,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,2500.0,1500,1000,2.0,12000,10000,100,4.0,,,10000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,0.3,10.0,3750.0,10.0,1.5,1.0,1400,,1000,,,,725.0,,,,,,,,,Target Painter,25,5.0,20000.0,40000.0,,,,,,5000,20,24.98,,,,4.9799999999999995,56250
Ephialtes Lancer,cruiser,150,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,2500.0,1500,1000,3.0,12000,10000,100,4.0,,,10000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,0.4,10.0,3750.0,10.0,1.5,1.0,1400,,1000,,,,725.0,,,,,,,,,,,,,,,,,,,5000,30,36.64,,,,6.640000000000001,56250
Ephialtes Obfuscator,cruiser,150,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,2500.0,1500,1000,2.0,12000,10000,100,4.0,,,10000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,0.3,10.0,3750.0,10.0,1.5,1.0,1400,,1000,,,,725.0,,,,,,,,,Sensor Dampener,`-15|-15,5.0,15000.0,30000.0,,,,,,5000,20,24.98,,,,4.9799999999999995,56250
Ephialtes Spearfisher,cruiser,150,10.0,10.0,10.0,10.0,10,10,10,10,10,10,10,10,2500.0,1500,1000,2.0,12000,10000,100,4.0,,,7000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,0.3,10.0,3750.0,10.0,1.5,1.0,1400,,1000,,,,725.0,,,,,,,,,Warp Scrambler,2,5.0,9000.0,,,,,,,5000,20,24.98,,,,4.9799999999999995,56250
Lucid Deepwatcher,battleship,400,,,,,70,70,70,70,0,0,0,0,,22000,25000,10.0,50000,50000,1,5.0,,,50000.0,40.0,40.0,0.0,0.0,Phantasmata Missile,188 EXP|188 KIN,3.0,6.0,4700.0,14.0,100.0,0.3,100,,,11484.0,,8593.0,5000.0,Armor,200.0,50000.0,50000.0,45.0,Armor Repair,700.0,90.0,Target Painter,10,5.0,5000.0,50000.0,,,,,,26923,160,348,4.444444444444445,7.777777777777778,,188,1974000
Lucid Aegis,frigate,70,,,,,50,50,50,50,0,0,0,0,,1000,1250,3.0,10000,5000,500,2.0,,,8000.0,12.0,12.0,0.0,0.0,Oneiric Missile,37.5 EXP|37.5 KIN,0.5,6.0,3750.0,5.0,2.0,1.0,1000,,800,,,,400.0,Armor,15.0,40000.0,20000.0,7.0,Armor Repair,30.0,5.0,,,,,,,,,,,2250,36,42.25,2.142857142857143,6,,6.25,37500
Lucid Escort,frigate,70,,,,,50,50,50,50,0,0,0,0,,800,900,2.0,10000,5000,500,2.0,,,8000.0,12.0,12.0,0.0,0.0,Oneiric Missile,37.5 EXP|37.5 KIN,0.5,9.0,3750.0,5.0,2.0,1.0,1750,,1400,,,,400.0,Armor,15.0,40000.0,20000.0,7.0,Armor Repair,20.0,5.0,,,,,,,,,,,1700,24,28.166666666666668,2.142857142857143,4,,4.166666666666667,37500
Lucid Preserver,frigate,100,,,,,20,20,20,20,0,0,0,0,,1200,1100,,,,,,,,,,,,,,,,,,,,,1100,,,,,,400.0,Armor,40.0,20000.0,20000.0,5.0,Armor Repair,30.0,5.0,,,,,,,,,,,2300,,,8,6,,,
Lucid Firewatcher,frigate,70,,,,,50,50,50,50,0,0,0,0,,1000,1250,3.0,10000,5000,500,2.0,,,8000.0,10.0,10.0,0.0,0.0,Oneiric Missile,37.5 EXP|37.5 KIN,0.5,10.0,3750.0,5.0,2.0,1.0,1000,,800,,,,400.0,Armor,15.0,40000.0,20000.0,7.0,Armor Repair,30.0,5.0,Energy Neutralizer,40,5.0,5000.0,5000.0,,,,,,2250,30,33.75,2.142857142857143,6,8,3.75,37500
Lucid Warden,frigate,70,,,,,50,50,50,50,0,0,0,0,,800,900,2.0,10000,5000,500,2.0,,,8000.0,10.0,10.0,0.0,0.0,Oneiric Missile,37.5 EXP|37.5 KIN,0.5,10.0,3750.0,5.0,2.0,1.0,1750,,1400,,,,400.0,Armor,15.0,40000.0,20000.0,7.0,Armor Repair,20.0,5.0,Stasis Webifier,40,5.0,10000.0,,,,,,,1700,20,23.75,2.142857142857143,4,,3.75,37500
Lucid Sentinel,cruiser,150,,,,,60,60,60,60,0,0,0,0,,3500,3250,5.0,20000,20000,100,5.0,,,12000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,1.0,16.0,3750.0,10.0,2.0,1.0,600,,450,,,,1000.0,Armor,50.0,50000.0,30000.0,12.0,Armor Repair,125.0,15.0,Energy Neutralizer,150,10.0,12000.0,6000.0,,,,,,6750,40,50.375,4.166666666666667,8.333333333333334,15,10.375,75000
Lucid Upholder,cruiser,150,,,,,60,60,60,60,0,0,0,0,,3500,3250,5.0,20000,20000,100,5.0,,,12000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,1.0,16.0,3750.0,10.0,2.0,1.0,800,,600,,,,1000.0,Armor,50.0,50000.0,30000.0,12.0,Armor Repair,125.0,15.0,Stasis Webifier,50,5.0,10000.0,,,,,,,6750,40,50.375,4.166666666666667,8.333333333333334,,10.375,75000
Lucid Watchman,cruiser,150,,,,,60,60,60,60,0,0,0,0,,3500,3250,6.0,20000,20000,100,5.0,,,12000.0,20.0,20.0,0.0,0.0,Praedormitan Missile,83 EXP |83 THE,1.0,14.0,3750.0,10.0,2.0,1.0,700,,525,,,,1000.0,Armor,50.0,50000.0,30000.0,12.0,Armor Repair,125.0,15.0,,,,,,,,,,,6750,48,59.85714285714286,4.166666666666667,8.333333333333334,,11.857142857142858,75000
Twilit Abyssal Overmind,battleship,465,12.0,30.0,48.0,56.0,68,59,77,68,60,60,60,60,9000.0,10000,10625,24.0,36000,15000,4.26,3.0,,,,0.0,13.8,23.0,0.0,,,,,,,,,250,,,,,,7500.0,,,,,,,,,,,,,,,,,,,29625,294.4,294.4,,,,,
Photic Abyssal Overmind,battleship,465,0.0,20.0,40.0,50.0,62,51,51,32,33,33,33,33,9000.0,10000,10625,14.3,30000,15000,3.6,4.0,,,,0.0,12.0,20.0,0.0,,,,,,,,,200,,,,,,7500.0,,,,,,,,,,,,,,,,,,,29625,114.4,114.4,,,,,
Bathyic Abyssal Overmind,battleship,465,12.0,30.0,48.0,56.0,68,59,59,68,60,60,60,60,9000.0,20000,10625,30.0,29025,28750,2.89,4.0,,,,0.0,23.0,32.2,0.0,,,,,,,,,300,,,,,,8906.0,,,,,,,,,,,,,,,,,,,39625,414,414,,,,,
Hadal Abyssal Overmind,battleship,455,12.0,30.0,48.0,56.0,77,70,70,68,60,60,60,60,11875.0,22500,13750,29.0,20790,19820,4.33,3.0,,,,0.0,23.0,32.2,0.0,,,,,,,,,350,,,,,,8906.0,,,,,,,,,,,,,,,,,,,48125,533.6,533.6,,,,,
Benthic Abyssal Overmind,battleship,455,21.0,37.0,53.0,61.0,76,68,68,70,68,68,68,68,11875.0,25750,13750,41.0,29160,29000,3.23,3.0,,,,0.0,24.0,33.6,0.0,,,,,,,,,400,,,,,,8906.0,,,,,,,,,Stasis Webifier,55,5.0,15000.0,,,,,,,51375,787.1999999999999,787.1999999999999,,,,,
Endobenthic Abyssal Overmind,battleship,455,21.0,37.0,53.0,61.0,76,68,68,70,68,68,68,68,14850.0,32180,17000,50.0,29160,29000,3.23,3.0,,,,0.0,24.0,33.6,0.0,,,,,,,,,400,,,,,,8906.0,,,,,,,,,Stasis Webifier,55,5.0,15000.0,,,,,,,64030,960,960,,,,,
Blastgrip Tessera,battlecruiser,300,60.0,70.0,70.0,60.0,60,70,70,60,0,0,0,0,3000.0,2300,2500,20.0,2000,6000,4000,5.0,,,2000.0,0.0,0.0,0.0,50.0,,,,,,,,,900,,,,,,1.0,,,,,,,,,,,,,,,,,,,7800,200,200,,,,,
Embergrip Tessera,battlecruiser,300,60.0,70.0,70.0,60.0,60,70,70,60,0,0,0,0,3000.0,2300,2500,20.0,2000,6000,4000,5.0,,,2000.0,0.0,50.0,0.0,0.0,,,,,,,,,525,,,,,,1.0,,,,,,,,,,,,,,,,,,,7800,200,200,,,,,
Strikegrip Tessera,battlecruiser,300,60.0,70.0,70.0,60.0,60,70,70,60,0,0,0,0,3000.0,2300,2500,20.0,2000,6000,4000,5.0,,,2000.0,0.0,0.0,50.0,0.0,,,,,,,,,650,,,,,,1.0,,,,,,,,,,,,,,,,,,,7800,200,200,,,,,
Sparkgrip Tessera,battlecruiser,300,60.0,70.0,70.0,60.0,60,70,70,60,0,0,0,0,3000.0,2300,2500,20.0,2000,6000,4000,5.0,,,2000.0,50.0,0.0,0.0,0.0,,,,,,,,,775,,,,,,1.0,,,,,,,,,,,,,,,,,,,7800,200,200,,,,,
